item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 5-0.00:00:30.0 ,0.67,26.90,67.70,0.69,26.70,69.10,0.99,26.70,68.40,0.43,26.70,70.70,0.61,26.70,68.40,0.38,26.70,69.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 6-0.00:00:36.0 ,1.05,26.90,67.60,0.85,26.70,69.00,1.21,26.70,68.50,0.76,26.70,70.60,0.73,26.70,68.30,0.54,26.70,69.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 7-0.00:00:42.0 ,0.89,26.80,67.40,0.60,26.60,68.80,1.02,26.70,68.60,0.78,26.70,70.50,0.49,26.70,68.20,0.50,26.70,69.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 8-0.00:00:48.0 ,0.74,26.80,67.20,0.78,26.60,68.50,1.38,26.70,68.40,1.06,26.70,70.30,0.77,26.70,68.20,0.56,26.60,69.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 9-0.00:00:54.0 ,1.14,26.80,66.90,0.59,26.70,68.30,1.41,26.60,68.30,0.80,26.80,70.00,0.99,26.80,68.20,0.24,26.60,69.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 10-0.00:01:00.0 ,1.13,26.80,66.80,0.70,26.70,68.20,1.36,26.50,68.20,0.93,26.80,69.80,0.70,26.80,67.90,0.26,26.60,69.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 11-0.00:01:06.0 ,1.12,26.80,66.60,0.70,26.70,68.10,1.29,26.50,68.30,0.77,26.60,69.60,0.75,26.70,67.60,0.77,26.70,69.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 12-0.00:01:12.0 ,1.30,26.70,66.50,0.59,26.60,68.00,1.52,26.60,68.40,0.65,26.60,69.50,0.94,26.80,67.40,1.15,26.60,68.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 13-0.00:01:18.0 ,1.21,26.70,66.50,0.55,26.50,67.90,1.00,26.60,68.30,0.99,26.70,69.40,0.96,26.60,67.30,0.64,26.40,68.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 14-0.00:01:24.0 ,0.40,26.60,66.50,0.95,26.60,68.00,1.19,26.50,68.20,0.51,26.60,69.30,0.69,26.60,67.10,0.64,26.40,68.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 15-0.00:01:30.0 ,0.72,26.70,66.50,0.50,26.60,67.90,1.11,26.50,68.20,0.77,26.70,69.20,0.67,26.60,67.10,0.90,26.40,68.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 16-0.00:01:36.0 ,1.25,26.70,66.50,0.64,26.60,67.80,1.07,26.50,68.10,0.69,26.60,69.10,0.65,26.50,67.00,0.29,26.40,68.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 17-0.00:01:42.0 ,1.06,26.70,66.50,0.81,26.70,67.70,1.07,26.40,68.00,1.01,26.70,69.00,0.93,26.60,67.00,0.55,26.40,68.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 18-0.00:01:48.0 ,0.84,26.70,66.50,0.58,26.50,67.60,1.23,26.40,68.00,0.96,26.60,68.90,0.86,26.70,67.00,0.76,26.40,68.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 19-0.00:01:54.0 ,0.55,26.60,66.40,0.96,26.60,67.70,1.46,26.40,68.00,0.50,26.60,68.90,0.66,26.50,66.90,0.41,26.30,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 20-0.00:02:00.0 ,0.78,26.60,66.30,0.59,26.50,67.70,1.12,26.40,68.00,0.89,26.70,68.80,0.52,26.50,66.80,0.65,26.40,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 21-0.00:02:06.0 ,1.08,26.70,66.40,0.38,26.60,67.50,0.87,26.40,68.00,0.66,26.50,68.90,1.12,26.60,66.80,0.62,26.30,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 22-0.00:02:12.0 ,0.93,26.60,66.40,0.50,26.60,67.40,1.07,26.40,68.00,0.83,26.60,68.80,1.32,26.50,66.70,1.17,26.30,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 23-0.00:02:18.0 ,0.73,26.60,66.30,0.72,26.50,67.40,1.40,26.40,67.90,0.93,26.60,68.70,1.00,26.50,66.70,0.56,26.30,68.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 24-0.00:02:24.0 ,1.16,26.60,66.30,0.70,26.50,67.40,1.35,26.40,68.00,0.75,26.50,68.80,0.81,26.60,66.70,0.85,26.50,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 25-0.00:02:30.0 ,1.09,26.50,66.30,0.57,26.50,67.50,1.25,26.40,68.00,0.96,26.50,68.80,1.15,26.40,66.70,0.49,26.20,67.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 26-0.00:02:36.0 ,1.05,26.50,66.20,0.98,26.50,67.60,1.14,26.40,67.90,0.63,26.50,68.70,1.02,26.50,66.60,0.76,26.30,67.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 27-0.00:02:42.0 ,0.63,26.50,66.10,0.49,26.50,67.50,1.23,26.30,67.80,0.78,26.50,68.60,0.97,26.50,66.60,0.94,26.30,67.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 28-0.00:02:48.0 ,0.82,26.60,66.10,1.01,26.50,67.30,1.45,26.30,67.70,0.88,26.50,68.60,0.87,26.40,66.60,0.65,26.30,67.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 29-0.00:02:54.0 ,0.65,26.60,66.10,1.01,26.50,67.20,1.44,26.40,67.80,0.89,26.40,68.70,0.75,26.50,66.60,0.49,26.20,67.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 30-0.00:03:00.0 ,0.75,26.50,66.10,0.58,26.50,67.20,1.55,26.40,67.80,0.72,26.40,68.80,0.94,26.40,66.60,0.98,26.30,67.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 31-0.00:03:06.0 ,1.13,26.50,66.00,1.16,26.50,67.30,1.12,26.40,67.80,0.63,26.40,68.70,0.64,26.40,66.60,0.78,26.20,67.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 32-0.00:03:12.0 ,1.14,26.50,66.00,0.82,26.50,67.20,1.54,26.40,67.70,0.71,26.40,68.70,0.87,26.40,66.50,0.61,26.30,67.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 33-0.00:03:18.0 ,0.64,26.50,66.00,1.18,26.50,67.20,1.03,26.40,67.70,0.93,26.40,68.70,0.86,26.40,66.50,0.75,26.20,67.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 34-0.00:03:24.0 ,1.09,26.50,66.00,1.21,26.50,67.10,0.87,26.40,67.60,1.14,26.40,68.70,0.96,26.40,66.50,0.67,26.20,67.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 35-0.00:03:30.0 ,1.06,26.60,65.90,1.04,26.50,67.10,1.05,26.40,67.60,0.84,26.40,68.60,0.58,26.40,66.40,0.81,26.20,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 36-0.00:03:36.0 ,1.01,26.60,65.90,0.83,26.50,67.00,1.43,26.40,67.50,1.01,26.40,68.50,1.11,26.40,66.40,0.60,26.20,67.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 37-0.00:03:42.0 ,0.87,26.50,65.90,1.11,26.50,66.90,1.14,26.40,67.40,1.41,26.40,68.50,0.60,26.40,66.40,0.83,26.20,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 38-0.00:03:48.0 ,0.81,26.50,65.90,1.02,26.50,66.90,0.94,26.30,67.40,0.85,26.40,68.40,0.48,26.40,66.30,0.70,26.20,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 39-0.00:03:54.0 ,0.69,26.50,65.90,0.95,26.50,66.90,1.43,26.40,67.30,0.90,26.20,68.30,0.93,26.40,66.30,0.67,26.20,67.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 40-0.00:04:00.0 ,1.47,26.50,66.00,0.99,26.50,66.90,1.28,26.40,67.40,1.06,26.40,68.40,0.66,26.40,66.30,0.71,26.10,67.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 41-0.00:04:06.0 ,0.82,26.40,65.90,1.15,26.50,67.00,1.09,26.30,67.40,0.58,26.30,68.40,1.06,26.40,66.20,0.64,26.10,67.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 42-0.00:04:12.0 ,0.93,26.50,65.80,0.72,26.40,66.90,1.24,26.40,67.30,0.77,26.40,68.20,0.74,26.40,66.20,0.89,26.20,67.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 43-0.00:04:18.0 ,0.55,26.50,65.70,0.75,26.30,66.90,0.78,26.30,67.20,0.59,26.20,68.20,1.09,26.40,66.10,0.60,26.10,67.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 44-0.00:04:24.0 ,0.72,26.50,65.70,0.73,26.50,66.80,1.32,26.20,67.10,0.80,26.20,68.10,0.72,26.40,66.00,0.68,26.10,67.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 45-0.00:04:30.0 ,0.84,26.40,65.60,0.86,26.50,66.70,1.49,26.30,67.00,0.64,26.30,68.10,0.68,26.40,66.00,0.74,26.20,67.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 46-0.00:04:36.0 ,0.77,26.50,65.50,0.78,26.30,66.60,1.37,26.30,67.00,0.88,26.30,68.10,0.46,26.40,66.00,0.46,26.10,67.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 47-0.00:04:42.0 ,0.90,26.40,65.50,1.12,26.40,66.60,1.19,26.30,67.00,0.99,26.30,68.00,0.93,26.30,65.90,0.85,26.00,66.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 48-0.00:04:48.0 ,0.54,26.30,65.40,0.95,26.40,66.60,0.94,26.30,67.00,0.90,26.30,68.00,0.75,26.30,65.80,0.94,26.10,67.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 49-0.00:04:54.0 ,0.88,26.20,65.30,0.81,26.40,66.40,1.33,26.30,66.90,0.67,26.30,68.00,0.92,26.30,65.80,0.76,26.10,67.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 50-0.00:05:00.0 ,0.81,26.40,65.30,1.13,26.30,66.40,1.33,26.30,66.90,0.88,26.30,68.00,1.11,26.40,65.80,0.71,26.00,66.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 51-0.00:05:06.0 ,0.78,26.30,65.30,0.61,26.30,66.50,1.14,26.20,66.90,0.94,26.30,67.90,1.07,26.30,65.70,1.01,26.00,66.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 52-0.00:05:12.0 ,1.00,26.40,65.20,0.85,26.30,66.70,1.21,26.20,66.80,0.80,26.30,67.90,0.83,26.30,65.70,0.80,26.10,66.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 53-0.00:05:18.0 ,0.66,26.30,65.20,0.79,26.30,66.60,1.21,26.30,66.80,0.79,26.40,67.90,0.67,26.30,65.60,0.69,26.10,66.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 54-0.00:05:24.0 ,0.71,26.30,65.20,0.82,26.30,66.40,1.31,26.30,66.70,0.73,26.40,67.90,0.95,26.30,65.60,0.68,26.10,66.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 55-0.00:05:30.0 ,0.88,26.30,65.20,0.81,26.30,66.30,1.26,26.20,66.60,0.51,26.40,67.70,1.05,26.30,65.60,0.80,26.00,66.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 56-0.00:05:36.0 ,0.54,26.30,65.20,0.59,26.30,66.20,1.22,26.20,66.60,0.83,26.20,67.60,1.00,26.30,65.60,0.97,26.10,66.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 57-0.00:05:42.0 ,0.42,26.20,65.20,0.67,26.20,66.00,1.11,26.20,66.60,0.64,26.20,67.60,1.05,26.30,65.50,0.83,26.10,66.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 58-0.00:05:48.0 ,1.19,26.40,65.10,0.54,26.20,65.90,1.12,26.20,66.60,0.79,26.30,67.50,0.84,26.20,65.50,0.68,26.00,66.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 59-0.00:05:54.0 ,0.89,26.30,65.00,0.58,26.20,65.90,1.35,26.20,66.50,0.38,26.10,67.50,1.12,26.30,65.40,0.96,26.00,66.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 60-0.00:06:00.0 ,0.83,26.30,65.00,0.83,26.20,65.80,1.50,26.20,66.50,1.35,26.30,67.50,1.15,26.20,65.40,0.60,25.90,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 61-0.00:06:06.0 ,1.44,26.30,64.90,0.63,26.20,65.80,1.10,26.20,66.40,0.83,26.10,67.40,0.86,26.20,65.40,0.76,26.00,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 62-0.00:06:12.0 ,0.81,26.20,64.80,0.84,26.20,65.80,1.02,26.20,66.40,0.75,26.10,67.40,0.90,26.20,65.30,0.88,25.90,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 63-0.00:06:18.0 ,0.88,26.30,64.80,0.92,26.30,65.80,1.26,26.20,66.30,1.03,26.20,67.40,0.93,26.30,65.30,1.00,26.00,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 64-0.00:06:24.0 ,1.18,26.30,64.80,0.95,26.20,65.60,1.36,26.20,66.30,0.76,26.20,67.40,0.50,26.30,65.20,0.72,26.00,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 65-0.00:06:30.0 ,0.82,26.30,64.80,0.62,26.20,65.60,1.05,26.10,66.10,0.81,26.20,67.40,0.85,26.20,65.20,1.06,26.10,66.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 66-0.00:06:36.0 ,1.10,26.30,64.80,0.69,26.20,65.50,1.23,26.20,66.10,0.59,26.20,67.40,0.93,26.20,65.20,0.56,25.90,66.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 67-0.00:06:42.0 ,1.27,26.30,64.80,0.91,26.20,65.50,0.97,26.10,66.10,0.70,26.20,67.20,0.72,26.10,65.10,0.95,26.00,66.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 68-0.00:06:48.0 ,0.84,26.20,64.70,0.90,26.20,65.60,1.09,26.10,66.10,0.95,26.20,67.10,0.51,26.10,65.00,0.76,26.00,66.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 69-0.00:06:54.0 ,0.78,26.20,64.70,0.74,26.20,65.50,1.30,26.20,66.10,0.73,26.20,67.00,1.04,26.10,65.00,1.12,26.10,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 70-0.00:07:00.0 ,0.94,26.20,64.60,0.84,26.20,65.40,0.87,26.10,66.00,0.59,26.20,67.00,1.15,26.20,65.00,0.83,25.90,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 71-0.00:07:06.0 ,0.93,26.20,64.50,1.11,26.20,65.40,1.20,26.10,65.90,0.72,26.20,67.00,0.87,26.20,64.90,0.90,26.00,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 72-0.00:07:12.0 ,0.62,26.20,64.50,0.69,26.20,65.40,1.23,26.10,65.90,1.04,26.30,66.90,0.85,26.10,64.90,0.72,26.00,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 73-0.00:07:18.0 ,0.63,26.20,64.50,0.85,26.20,65.40,0.89,26.10,65.90,0.91,26.20,66.90,1.11,26.20,64.90,0.96,26.00,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 74-0.00:07:24.0 ,0.41,26.10,64.50,1.02,26.20,65.40,0.82,26.00,65.80,1.00,26.30,66.80,0.91,26.20,64.80,0.86,25.90,66.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 75-0.00:07:30.0 ,0.83,26.20,64.50,0.63,26.20,65.40,1.25,26.10,65.70,1.01,26.30,66.80,0.93,26.10,64.80,0.90,25.80,66.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 76-0.00:07:36.0 ,1.10,26.20,64.40,0.57,26.20,65.30,1.16,26.10,65.80,0.73,26.20,66.70,0.73,26.10,64.80,0.44,25.80,65.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 77-0.00:07:42.0 ,1.12,26.20,64.40,0.76,26.20,65.20,1.21,26.00,65.80,0.83,26.10,66.70,0.66,26.10,64.70,0.76,25.80,65.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 78-0.00:07:48.0 ,0.53,26.20,64.30,0.57,26.20,65.30,1.17,26.00,65.70,0.55,26.10,66.70,0.64,26.10,64.70,0.74,25.80,66.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 79-0.00:07:54.0 ,1.07,26.20,64.20,0.86,26.10,65.20,1.45,26.00,65.70,0.62,26.20,66.70,0.90,26.10,64.70,0.83,25.80,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 80-0.00:08:00.0 ,0.75,26.20,64.20,0.77,26.20,65.30,1.35,26.00,65.60,1.20,26.20,66.60,1.10,26.10,64.70,0.79,25.90,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 81-0.00:08:06.0 ,0.55,26.20,64.20,0.78,26.20,65.40,1.04,26.00,65.60,0.52,26.00,66.60,0.79,26.10,64.60,0.81,25.80,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 82-0.00:08:12.0 ,0.80,26.20,64.20,0.97,26.30,65.30,1.23,26.10,65.50,0.96,26.10,66.50,0.93,26.10,64.50,0.58,25.90,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 83-0.00:08:18.0 ,0.86,26.20,64.20,0.87,26.10,65.10,1.21,26.00,65.40,0.92,26.10,66.40,0.80,26.10,64.50,0.62,25.70,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 84-0.00:08:24.0 ,0.95,26.20,64.10,1.00,26.10,65.00,1.16,25.90,65.40,1.35,26.00,66.60,0.95,26.10,64.40,0.72,25.80,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 85-0.00:08:30.0 ,0.68,26.10,64.10,1.04,26.20,65.00,1.04,26.00,65.40,0.82,26.00,66.60,0.49,26.10,64.50,0.29,25.80,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 86-0.00:08:36.0 ,0.66,26.20,64.00,0.75,26.10,64.90,1.43,26.10,65.40,0.82,26.00,66.60,0.71,26.00,64.40,0.72,25.80,65.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 87-0.00:08:42.0 ,0.90,26.10,64.00,0.92,26.20,64.80,1.00,26.00,65.40,1.19,26.00,66.70,0.99,26.10,64.40,0.73,25.80,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 88-0.00:08:48.0 ,1.03,26.10,64.00,0.96,26.10,64.90,1.36,26.10,65.40,1.26,26.00,66.60,0.60,26.10,64.40,0.74,26.00,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 89-0.00:08:54.0 ,0.90,26.10,64.00,0.71,26.10,64.90,0.96,26.00,65.30,1.06,26.00,66.60,0.89,26.10,64.40,0.87,25.90,65.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 90-0.00:09:00.0 ,0.89,26.10,63.90,0.98,26.10,64.80,1.10,26.10,65.30,0.92,26.00,66.60,1.07,26.10,64.40,0.33,25.80,65.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 91-0.00:09:06.0 ,1.07,26.10,63.90,0.88,26.10,64.70,1.11,26.00,65.20,0.99,26.10,66.60,0.60,26.10,64.30,0.86,25.80,65.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 92-0.00:09:12.0 ,0.94,26.20,63.90,0.93,26.10,64.80,1.35,26.00,65.20,0.72,26.00,66.50,0.52,26.10,64.20,0.74,25.90,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 93-0.00:09:18.0 ,1.25,26.10,63.90,1.20,26.20,64.80,1.19,26.00,65.20,0.70,26.00,66.40,0.87,26.10,64.00,0.92,25.90,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 94-0.00:09:24.0 ,0.81,26.10,63.90,1.12,26.10,64.70,1.27,26.00,65.20,0.83,26.10,66.30,0.72,26.00,64.00,0.95,25.90,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
